"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify JavaScript error page URL","348","Verify that navigation opens the JavaScript error page","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P30JavaScriptOnLoadTest","smokeTest","Tests.P30JavaScriptOnLoadTest","verifyJavaScriptErrorPageUrl"
"Validate that Entry Ad function is clickable","311","Validate that Entry Ad function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatEntryAdIsClickable"
"Verify first table cell value","639","Verify the value of the first table cell","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P32LargeDeepDomTest","smokeTest","Tests.P32LargeDeepDomTest","verifyFirstTableCellValue"
"Validate Successful login","432","Validate Successful login","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P3BasicAuthTest","smokeTest","Tests.P3BasicAuthTest","validateSuccessfulLogin"
"Verify PDF download link","2129","Verify that the PDF menu option contains the correct download link","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P28JQueryUiMenuTest","smokeTest","Tests.P28JQueryUiMenuTest","verifyPdfDownloadLink"
"validate That Third image is Loaded","495","validate That Third image is Loaded","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P4BrokenImagesTest","smokeTest","Tests.P4BrokenImagesTest","validateThirdImageIsLoaded"
"validate That Second Check Box is displayed and named checkbox 2","430","validate That Second Check Box is displayed and named checkbox 2","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P6CheckBoxesTest","smokeTest","Tests.P6CheckBoxesTest","validateSecondCheckBoxIsDisplayedAndItsName"
"Verify Frames page header","391","Verify that the Frames page displays the correct header","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P22FramesTest","smokeTest","Tests.P22FramesTest","verifyFramesPageHeader"
"Validate that Forgot Password function is clickable","358","Validate that Forgot Password function is clickable","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.MainPageTest","smokeTest","Tests.MainPageTest","validateThatForgotPasswordIsClickable"
"validate the functionality of the check box and it's button addition and removal","7153","validate the functionality of the check box and it's button addition and removal","AutomationHerokuApp","2026-09-02","passed","2026-09-02","Tests.P13DynamicControlsTest","smokeTest","Tests.P13DynamicControlsTest","validateCheckboxAndButtonFunctionality"
